1,Yarrawonga 
2,Perthshire 
3,Reichstag 
4,Selkirkshire 
5,Waroonga 
6,Roma 
7,Tewkesbury 
8,Ophelia 
9,Oruba 
10,Queen of the Colonies 
11,Duke of Sutherland 
12,Kapunda 
13,Rajah Gopaul 
14,John Fielden 
15,Kaikoura 
16,Wistow Hall 
17,Montmorency 
18,Oswestry Grange 
19,Lammershagen 
20,Rimutaka 
21,Waipara 
22,Almora 
23,Scottish Admiral 
24,Torilla 
25,Dacca 
26,Sultana 
27,Rippingham Grange 
28,Compta 
29,Kincardineshire 
30,Duke of Buckingham 
31,Durham 
32,Quetta 
33,Dilharree 
34,Northern Monarch 
35,Dorunda 
36,Zamora 
37,Light Brigade 
38,Isles of the South 
39,Tara 
40,Truro 
41,Duke of Buccleuch 
42,General Hewitt 
43,Avoca 
44,Earl Granville 
45,Duke of Westminster 
46,Young Australia 
47,Ramsay 
48,Orsova 
49,Nebo 
50,Rohilla 
51,Bulimba 
52,Great Queensland 
53,John Rennie 
54,Jumna 
55,Southern Belle 
56,Cloncurry 
57,General Caulfield 
58,Prince Consort 
59,Garnock 
60,Duke of Norfolk 
61,Humboldt 
62,Duke of Athole 
63,Southesk 
64,Beausite 
65,Corinth 
66,Duke of Portland 
67,Assel 
68,Star of England 
69,Eastern Empire 
70,Shannon 
71,Silver Eagle 
72,Miltiades 
73,Merkara 
74,India 
75,Duke of Devonshire 
76,Ramsey 
77,Zoroaster 
78,Scottish Wizard 
79,Samarang 
80,Yawata Maru 
81,Scottish Lassie 
82,Osterley 
83,Carnatic 
84,Goalpara 
85,Dunbar Castle 
86,Caroline 
87,Duke of Argyll 
88,British Nation 
89,Windsor Castle 
90,Alexandrina 
91,Chyebassa 
92,Orotava 
93,Taroba 
94,Herschel 
95,Whakatane 
96,Hampshire 
97,Linlithgowshire 
98,Western Monarch 
99,Stirlingshire 
100,Gloucester 
101,Silhet 
102,Oroya 
103,Legion of Honor 
104,Storm King 
105,Gauntlet 
106,Alexandra 
107,Duke of Argyle 
108,Loch Cree 
109,Jerusalem 
110,Theresa 
111,Argyllshire 
112,Indus 
113,Winefred 
114,Conway 
115,Scottish Hero 
116,Glamis 
117,Light of the Age 
118,Lobelia 
119,Golden City 
120,Derbyshire 
121,Birdston 
122,Marathon 
123,Duntrune 
124,Renfrewshire 
125,Scotland 
