1,Ship  
2,Perthshire
3,Merkara
4,Oswestry Grange
5,Paparoa
6,Waipara
7,Dorunda
8,Torilla
9,Rippingham Grange
10,Rimutaka
11,Tara
12,Cloncurry
13,Orsova
14,Jumna
15,Limerick
16,Yawatu Maru
17,Otranto
18,Osterley
19,Omrah
20,Zieten
21,Roscommon
22,Chyebessa
23,Whakalane
24,Duke of Westminister
25,Orotava
26,Orama
27,Taroba
28,Aleuora
29,Duke of Buccleuch
30,Marathon
31,Demosthenes
32,Quetta
33,Orient
34,Empire
35,Waroonga
36,Ayrshire
37,Themosticles
38,Durham
39,Everton Grange
40,Essex
41,Orvieto
42,New Guinea
43,Roma
44,Cornwall
45,Duke Of Argyle
46,Nikka Maru
47,Bulimba
48,Kumano
49,Duke of Sutherland
50,St Albans
51,Orontes
52,Kumano Maru
53,Nikko Maru
54,Duke of Argyle
55,Dorset
56,Gneisenau
57,Dacca
58,Gulf of Carpentaria
59,Suffolk
60,Duke of Devonshire
61,Ormuz
62,Yawata Maru
63,Devon
64,Themistocles
65,Duke Of Westminster
66,Norseman
67,Aldenham
68,Kaipara
69,Miltiades
70,India ?
71,Ophir
72,Oroya
73,Roon
74,Kaikoura
75,Somerset
76,Otway
77,Fifeshire
78,Jelunga
79,Pericles
80,Chemnitz
81,Banffshire
82,Orphir
83,Carpentaria
84,Cassel
85,Sydlitz
86,Moravian
87,Duke of Buckingham
88,Duke Of Buckingham
89,Zealandic
90,Eastern
91,Breman
92,Seydlitz
93,Medic
94,Bremen
95,Kumana Maru
96,Oruba
97,N/a
